model_name,rmse,mae,r2_score
xgboost,23286.025390625,14340.7265625,0.9323684573173523
random_forest,26750.503996799733,15866.216595563137,0.9107470924714786
linear_regression,29635.3589862215,16034.10789678626,0.890458465629306
